code,language,sub_language,total,total_male,total_female,rural,rural_male,rural_female,urban,urban_male,urban_female
87003,Miri,Miri,629954,320282,309672,616089,313262,302827,13865,7020,6845
88007,Mishmi,Mishmi,15871,7865,8006,13864,6849,7015,2007,1016,991
88999,Mishmi,Others,28229,13860,14369,24950,12291,12659,3279,1569,1710
89004,Mogh,Mogh,36652,18473,18179,35487,17857,17630,1165,616,549
89999,Mogh,Others,13,8,5,8,6,2,5,2,3
90003,Monpa,Monpa,13703,7072,6631,9912,5071,4841,3791,2001,1790
91006,Munda,Kol,19868,9936,9932,18965,9488,9477,903,448,455
91009,Munda,Munda,464817,232259,232558,420276,209767,210509,44541,22492,22049
91999,Munda,Others,21237,10920,10317,17344,8826,8518,3893,2094,1799
92005,Mundari,Mundari,1128050,563561,564489,1042110,520838,521272,85940,42723,43217
92999,Mundari,Others,178,47,131,120,13,107,58,34,24
93001,Nicobarese,Nicobarese,29099,14974,14125,26970,13936,13034,2129,1038,1091
94001,Nissi,Apatani,44815,21848,22967,28997,14415,14582,15818,7433,8385
94007,Nissi,Nissi,289166,141051,148115,239992,117040,122952,49174,24011,25163
94008,Nissi,Tagin,62897,31055,31842,50931,25190,25741,11966,5865,6101
94999,Nissi,Others,9654,5019,4635,9121,4735,4386,533,284,249
95003,Nocte,Nocte,29810,14930,14880,23570,11931,11639,6240,2999,3241
95999,Nocte,Others,1029,506,523,891,447,444,138,59,79
96002,Paite,Paite,79443,39397,40046,68299,33865,34434,11144,5532,5612
96999,Paite,Others,64,36,28,30,16,14,34,20,14
97001,Parji,Dhurwa,45938,22781,23157,45453,22539,22914,485,242,243
97999,Parji,Others,6411,3170,3241,6323,3114,3209,88,56,32
98001,Pawi,Pawi,28639,14292,14347,19131,9621,9510,9508,4671,4837
100001,Phom,Phom,54416,28351,26065,43834,22941,20893,10582,5410,5172
101006,Pochury,Pochury,21568,11020,10548,20499,10443,10056,1069,577,492
101999,Pochury,Others,86,47,39,61,36,25,25,11,14
102002,Rabha,Rabha,139985,70802,69183,135047,68243,66804,4938,2559,2379
